Journal.name,JIF
HLA,5.9
CURRENT OPINION IN MICROBIOLOGY,5.9
RIVISTA DEL NUOVO CIMENTO,5.9
Journal of Lipids,5.9
JOURNAL OF CLINICAL PERIODONTOLOGY,5.8
Journal of Tourism Futures,5.8
Current Opinion in Insect Science,5.8
Biopreservation and Biobanking,1.2
Bradleya,1.2
CIENCIA E AGROTECNOLOGIA,1.2
Epidemiologia & Prevenzione,1.2
Index Comunicacion,1.2
International Heart Journal,1.2
Journal of Mid-life Health,1.2
LogForum,1.2
Neurointervention,1.2
Romanian Journal of Physics,1.2
SHOCK AND VIBRATION,1.2
THEORETICAL POPULATION BIOLOGY,1.2
Academic Pathology,1.2
AFRICAN ENTOMOLOGY,1.2
CALIFORNIA AGRICULTURE,1.2
Current Rheumatology Reviews,1.2
Journal of Dynamic Behavior of Materials,1.2
JOURNAL OF GENERAL MANAGEMENT,1.2
JOURNAL OF HEALTH CARE FOR THE POOR AND UNDERSERVED,1.2
JOURNAL OF NIPPON MEDICAL SCHOOL,1.2
Journal of Pharmacopuncture,1.2
KLINISCHE PADIATRIE,1.2
LASER PHYSICS,1.2
PEDIATRIC HEMATOLOGY AND ONCOLOGY,1.2
Psychosis-Psychological Social and Integrative Approaches,1.2
Reading Psychology,1.2
Soil Research,1.2
Entrepreneurship and Sustainability Issues,1.2
European Journal of International Management,1.2
JOURNAL OF APPLIED BOTANY AND FOOD QUALITY,1.2
JOURNAL OF THE GEOLOGICAL SOCIETY OF INDIA,1.2
KSII Transactions on Internet and Information Systems,1.2
Marketing and Management of Innovations,1.2
Maternal-Fetal Medicine,1.2
NEW ZEALAND MEDICAL JOURNAL,1.2
ORGANIC PREPARATIONS AND PROCEDURES INTERNATIONAL,1.2
Physical Culture and Sport Studies and Research,1.2
RANGELAND JOURNAL,1.2
Research in Economics,1.2
Tourism and Hospitality Management-Croatia,1.2
Africa Journal of Management,1.2
Cellular Reprogramming,1.2
International Journal of Aeroacoustics,1.2
Journal of Adolescent and Young Adult Oncology,1.2
Journal of Practical Ethics,1.2
Psychiatry International,1.2
Reumatologia Clinica,1.2
REVISTA MEXICANA DE FISICA,1.2
Advances in Hospitality and Tourism Research-AHTR,1.2
AUSTRALIAN JOURNAL OF EARTH SCIENCES,1.2
BLOOD PRESSURE MONITORING,1.2
Culture and Organization,1.2
Czech Journal of Genetics and Plant Breeding,1.2
Egyptian Journal of Medical Human Genetics,1.2
Journal of Location Based Services,1.2
Mechanics & Industry,1.2
Reumatismo,1.2
Revista da Associacao Medica Brasileira,1.2
Accounting Historians Journal,1.2
ANALOG INTEGRATED CIRCUITS AND SIGNAL PROCESSING,1.2
COLOR RESEARCH AND APPLICATION,1.2
CVIR Endovascular,1.2
Journal of Real Estate Research,1.2
Letters in Drug Design & Discovery,1.2
METEOROLOGISCHE ZEITSCHRIFT,1.2
PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART A-JOURNAL OF POWER AND ENERGY,1.2
Reports of Practical Oncology and Radiotherapy,1.2
RUBBER CHEMISTRY AND TECHNOLOGY,1.2
Russian Geology and Geophysics,1.2
South African Journal of Economic and Management Sciences,1.2
Boletin de la Asociacion de Geografos Espanoles,1.2
CHINESE JOURNAL OF CHEMICAL PHYSICS,1.2
Cybernetics and Information Technologies,1.2
Economics of Governance,1.2
Global Medical Genetics,1.2
International Journal of Design Creativity and Innovation,1.2
Journal of Agricultural Science and Technology,1.2
JOURNAL OF CLINICAL ULTRASOUND,1.2
Kuwait Journal of Science,1.2
PNEUMOLOGIE,1.2
Psychology Society & Education,1.2
Revista Fuentes,1.2
Steel Construction-Design and Research,1.2
SURVEY REVIEW,1.2
Techniques and Innovations in Gastrointestinal Endoscopy,1.2
Traitement du Signal,1.2
Advances in Mental Health and Intellectual Disabilities,1.2
Archives of Electrical Engineering,1.2
CHINESE JOURNAL OF ANALYTICAL CHEMISTRY,1.2
CLIMATE RESEARCH,1.2
COMPTES RENDUS CHIMIE,1.2
CYTOPATHOLOGY,1.2
Economics and Business Review,1.2
FORESTRY CHRONICLE,1.2
International Journal of Advances in Engineering Sciences and Applied Mathematics,1.2
International Journal of Antennas and Propagation,1.2
JOURNAL OF CARBOHYDRATE CHEMISTRY,1.2
Journal of Macromolecular Science Part B-Physics,1.2
Obstetrician & Gynaecologist,1.2
Plant Genetic Resources-Characterization and Utilization,1.2
South African Journal of Information Management,1.2
TRANSACTIONS OF THE INSTITUTE OF METAL FINISHING,1.2
Archive of Mechanical Engineering,1.2
CANADIAN JOURNAL OF ADMINISTRATIVE SCIENCES-REVUE CANADIENNE DES SCIENCES DE L ADMINISTRATION,1.2
Frattura ed Integrita Strutturale-Fracture and Structural Integrity,1.2
Journal Of Cardiovascular and Thoracic Research,1.2
JOURNAL OF ELECTROMAGNETIC WAVES AND APPLICATIONS,1.2
Journal of Rubber Research,1.2
Jove-Journal of Visualized Experiments,1.2
Neurosciences,1.2
Rheumatology & Autoimmunity,1.2
International Journal of Sustainable Agricultural Management and Informatics,1.2
Journal of Water Management Modeling,1.2
Retos-Nuevas Tendencias en Educacion Fisica Deporte y Recreacion,1.2
SA Journal of Human Resource Management,1.2
Studies in Informatics and Control,1.2
BLOOD COAGULATION & FIBRINOLYSIS,1.2
EuroBiotech Journal,1.2
Hepatology Forum,1.2
Iranian Journal of Allergy Asthma and Immunology,1.2
Journal of Applied Geodesy,1.2
Malawi Medical Journal,1.2
REVUE D EPIDEMIOLOGIE ET DE SANTE PUBLIQUE,1.2
Business Systems Research Journal,1.2
Clinical Medicine & Research,1.2
CZECH JOURNAL OF FOOD SCIENCES,1.2
Hipertension y Riesgo Vascular,1.2
Journal of Sedimentary Environments,1.2
JOURNAL OF STRUCTURAL CHEMISTRY,1.2
MATERIALS TRANSACTIONS,1.2
Middle East Journal of Management,1.2
Periodico di Mineralogia,1.2
Recent Advances in Inflammation & Allergy Drug Discovery,1.2
ACTA CHIMICA SLOVENICA,1.2
Asian Academy of Management Journal,1.2
Baghdad Science Journal,1.2
Forensische Psychiatrie Psychologie Kriminologie,1.2
Gravitation & Cosmology,1.2
Innovative Marketing,1.2
International Journal of Masonry Research and Innovation,1.2
International Journal Of Recycling of Organic Waste in Agriculture,1.2
Journal of Oil Palm Research,1.2
MATERIALWISSENSCHAFT UND WERKSTOFFTECHNIK,1.2
MERRILL-PALMER QUARTERLY-JOURNAL OF DEVELOPMENTAL PSYCHOLOGY,1.2
PHILOSOPHICAL MAGAZINE LETTERS,1.2
Romanian Journal of Morphology and Embryology,1.2
World Cancer Research Journal,1.2
Chalcogenide Letters,1.2
e-Informatica Software Engineering Journal,1.2
Functional Materials Letters,1.2
Journal of Applied Glycoscience,1.2
NATIONAL ACADEMY SCIENCE LETTERS-INDIA,1.2
Nutricion Hospitalaria,1.2
South African Family Practice,1.2
Turkish Journal of Electrical Engineering and Computer Sciences,1.2
Chinese Journal of Chromatography,1.2
Medwave,1.2
Analytical & Bioanalytical Electrochemistry,1.2
ARO-The Scientific Journal of Koya University,1.2
Cognitive Computation and Systems,1.2
International Journal for Quality Research,1.2
INTERNATIONAL JOURNAL OF COMPUTER APPLICATIONS IN TECHNOLOGY,1.2
JOURNAL OF AQUATIC PLANT MANAGEMENT,1.2
PHYSICS AND CHEMISTRY OF LIQUIDS,1.2
Acta Epileptologica,1.2
Clinical and Investigative Medicine,1.2
HEMOGLOBIN,1.2
International Journal of Chemical Reactor Engineering,1.2
International Journal of Nano Dimension,1.2
Journal of the ASABE,1.2
Proceedings of the Indian National Science Academy,1.2
SURFACE REVIEW AND LETTERS,1.2
Journal of Physical Science,1.2
Journal of Thermal Science and Technology,1.2
Revista INVI,1.2
Applied Science and Convergence Technology,1.2
Journal of Superhard Materials,1.2
TENSIDE SURFACTANTS DETERGENTS,1.2
Hydrologie und Wasserbewirtschaftung,1.2
Journal of East-West Business,1.2
Detritus,1.2
INTERNATIONAL JOURNAL OF INDUSTRIAL ENGINEERING-THEORY APPLICATIONS AND PRACTICE,1.2
3C Empresa,1.2
Economia-Journal of the Latin American and Caribbean Economic Association,1.2
TIDSSKRIFT FOR DEN NORSKE LAEGEFORENING,1.2
ARCHAEOLOGY IN OCEANIA,1.1
HISTORY AND THEORY,1.1
WILLIAM AND MARY QUARTERLY,1.1
JOURNAL OF AMERICAN HISTORY,1.1
SOCIAL HISTORY,1.1
Twentieth Century British History,1.1
Art & Perception,1.1
Cogent Arts & Humanities,1.1
PHILOSOPHICAL STUDIES,1.1
Scientia et Fides,1.1
JOURNAL OF THE BRITISH SOCIETY FOR PHENOMENOLOGY,1.1
PHILOSOPHICAL QUARTERLY,1.1
Rhetoric Society Quarterly,1.1
Journal of Religious Education,1.1
COMPARATIVE STUDIES IN SOCIETY AND HISTORY,1.1
ANALYSIS,1.1
INTERNATIONAL JOURNAL OF ART & DESIGN EDUCATION,1.1
NOTES,1.1
Central Asian Survey,1.1
Kantian Review,1.1
International Journal of Human Rights,1.1
Journal of Mathematical Inequalities,1.1
Southern African Humanities,1.1
European Labour Law Journal,1.1
ICON-INTERNATIONAL JOURNAL OF CONSTITUTIONAL LAW,1.1
JOURNAL OF THE AMERICAN MUSICOLOGICAL SOCIETY,1.1
JOURNAL OF CONFLICT & SECURITY LAW,1.1
JOURNAL OF NEW MUSIC RESEARCH,1.1
KENNEDY INSTITUTE OF ETHICS JOURNAL,1.1
JOURNAL OF INTERDISCIPLINARY MATHEMATICS,1.1
JOURNAL OF ASIAN AND AFRICAN STUDIES,1.1
Bulletin of Mathematical Sciences,1.1
Communication and Critical-Cultural Studies,1.1
Journal of Balkan and Near Eastern Studies,1.1
Language and Cognition,1.1
Ming Studies,1.1
Pragmatics,1.1
PUBLIC CULTURE,1.1
International Journal of Learner Corpus Research,1.1
LINGUISTICS AND PHILOSOPHY,1.1
WASHINGTON LAW REVIEW,1.1
Journal of Open Archaeology Data,1.1
Journal of the Institute of Mathematics of Jussieu,1.1
International and Multidisciplinary Journal of Social Sciences-RIMCIS,1.1
Journal of Contemporary European Research,1.1
Journal of Moral Philosophy,1.1
HERPETOLOGICAL MONOGRAPHS,1.1
LINGUA,1.1
Child Care in Practice,1.1
Anthropological Theory,1.1
ICSID Review-Foreign Investment Law Journal,1.1
JOURNAL OF CRIMINAL LAW & CRIMINOLOGY,1.1
Internet Pragmatics,1.1
Azania-Archaeological Research in Africa,1.1
Linguistics Vanguard,1.1
International Journal of Work-Integrated Learning,1.1
Results in Mathematics,1.1
Journal of Adult and Continuing Education,1.1
Journal of European Competition Law & Practice,1.1
Journal of Nonlinear Functional Analysis,1.1
Mediterranean Journal of Mathematics,1.1
PSYCHOLOGY CRIME & LAW,1.1
Journal of Primary Health Care,1.1
Communications in Mathematics and Statistics,1.1
Journal of Social Philosophy,1.1
European Journal of Contemporary Education,1.1
Improving Schools,1.1
INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY,1.1
Constructive Mathematical Analysis,1.1
JOURNAL OF EVOLUTION EQUATIONS,1.1
Journal of Fractal Geometry,1.1
PUBLICATIONS OF THE RESEARCH INSTITUTE FOR MATHEMATICAL SCIENCES,1.1
RICERCHE DI MATEMATICA,1.1
Banach Journal of Mathematical Analysis,1.1
COMMENTARII MATHEMATICI HELVETICI,1.1
DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS,1.1
Revista Internacional de Educacion para la Justicia Social,1.1
Spatial Demography,1.1
AUSTRALIAN ARCHAEOLOGY,1.1
JOURNAL OF THE HISTORY OF INTERNATIONAL LAW,1.1
Semantics & Pragmatics,1.1
Canadian Review of Sociology-Revue Canadienne de Sociologie,1.1
Field Methods,1.1
NanoEthics,1.1
Transactions of the London Mathematical Society,1.1
Computational Methods for Differential Equations,1.1
Infants & Young Children,1.1
LATIN AMERICAN ANTIQUITY,1.1
WOMEN & THERAPY,1.1
JOURNAL OF LARYNGOLOGY AND OTOLOGY,1.1
JOURNAL OF WORLD TRADE,1.1
SOCIAL WORK EDUCATION,1.1
Anthropology in Action-Journal for Applied Anthropology in Policy and Practice,1.1
HISTORY OF SCIENCE,1.1
International Journal of Childrens Rights,1.1
International Journal of the Sociology of Language,1.1
ASYMPTOTIC ANALYSIS,1.1
Electronic Journal of Qualitative Theory of Differential Equations,1.1
Alteridad-Revista de Educacion,1.1
Literacy Research and Instruction,1.1
ZOOMORPHOLOGY,1.1
Numerical Algebra Control and Optimization,1.1
Physical Medicine and Rehabilitation Clinics of North America,1.1
Journal of Lithic Studies,1.1
STOCHASTIC PROCESSES AND THEIR APPLICATIONS,1.1
ACTA ZOOLOGICA,1.1
Journal of Lesbian Studies,1.1
Pedagogy in Health Promotion,1.1
Teaching Public Administration,1.1
AMERICAN JOURNAL OF EVALUATION,1.1
Architecture and Culture,1.1
JOURNAL OF WILDLIFE DISEASES,1.1
PHONETICA,1.1
Research in Gerontological Nursing,1.1
SEXUALITY AND DISABILITY,1.1
International Journal of Comparative and Applied Criminal Justice,1.1
International Journal of Qualitative Studies in Education,1.1
Japanese Journal of Statistics and Data Science,1.1
Journal of Osteoporosis,1.1
Comprehensive Child and Adolescent Nursing-Building Evidence for Practice,1.1
Conflict Security & Development,1.1
Frontiers in Emergency Medicine,1.1
History of Psychology,1.1
JOURNAL OF ASIA-PACIFIC ENTOMOLOGY,1.1
JOURNAL OF COMPARATIVE PSYCHOLOGY,1.1
Violence and Victims,1.1
APPLICABLE ANALYSIS,1.1
Critical Arts-South-North Cultural and Media Studies,1.1
HERPETOLOGICAL JOURNAL,1.1
Journal of Family Medicine and Primary Care,1.1
Journal of International Political Theory,1.1
Journal of Public and Nonprofit Affairs,1.1
Dynamics of Partial Differential Equations,1.1
Electronic Journal of Information Systems in Developing Countries,1.1
FOLIA PHONIATRICA ET LOGOPAEDICA,1.1
Minerva Dental and Oral Science,1.1
Pakistan Journal of Statistics and Operation Research,1.1
Advances in Applied Clifford Algebras,1.1
GEOLOGIA CROATICA,1.1
Journal of Applied Security Research,1.1
Journal of Disability Policy Studies,1.1
Journal of Social Distress and the Homeless,1.1
LANGUAGE AND SPEECH,1.1
JOURNAL OF DIFFERENCE EQUATIONS AND APPLICATIONS,1.1
Journal of Vascular Nursing,1.1
Rehabilitation Nursing,1.1
Teaching Mathematics and Its Applications,1.1
CARBONATES AND EVAPORITES,1.1
Culture and Education,1.1
DISEASES OF AQUATIC ORGANISMS,1.1
Families Relationships and Societies,1.1
International Journal of Disability Development and Education,1.1
NODEA-NONLINEAR DIFFERENTIAL EQUATIONS AND APPLICATIONS,1.1
Women & Criminal Justice,1.1
European Journal of Prosthodontics and Restorative Dentistry,1.1
JOURNAL OF VETERINARY EMERGENCY AND CRITICAL CARE,1.1
JOURNAL OF VETERINARY MEDICAL SCIENCE,1.1
NETWORK-COMPUTATION IN NEURAL SYSTEMS,1.1
NOMADIC PEOPLES,1.1
Austral Entomology,1.1
Belitung Nursing Journal,1.1
Journal of Baltic Science Education,1.1
Journal of Health Care Chaplaincy,1.1
Journal of Music Teacher Education,1.1
Journal of Poverty and Social Justice,1.1
Deafness & Education International,1.1
HIMALAYAN GEOLOGY,1.1
Human Arenas,1.1
JOURNAL OF CONTINUING EDUCATION IN NURSING,1.1
NEW ZEALAND VETERINARY JOURNAL,1.1
ACTA GEOLOGICA POLONICA,1.1
Action Learning,1.1
EDUCATIONAL GERONTOLOGY,1.1
JOURNAL OF VETERINARY MEDICAL EDUCATION,1.1
Quality in Higher Education,1.1
Social Work in Mental Health,1.1
SPECTROSCOPY LETTERS,1.1
THEORETICAL MEDICINE AND BIOETHICS,1.1
COMMUNIST AND POST-COMMUNIST STUDIES,1.1
EUROPEAN JOURNAL OF ENTOMOLOGY,1.1
European Journal of Taxonomy,1.1
International Journal of Mechanical Engineering Education,1.1
Journal of Audiology and Otology,1.1
Law Teacher,1.1
Multicultural Education Review,1.1
British Politics,1.1
Clinical Nurse Specialist,1.1
Japanese Journal of Political Science,1.1
Journal of Evidence-Based Social Work,1.1
Thoracic Surgery Clinics,1.1
Turkish Journal of Physical Medicine and Rehabilitation,1.1
ANNALS OF THE ROYAL COLLEGE OF SURGEONS OF ENGLAND,1.1
CANADIAN ENTOMOLOGIST,1.1
FINANCE AND STOCHASTICS,1.1
Journal of Aging and Environment,1.1
Journal of Laparoendoscopic & Advanced Surgical Techniques,1.1
Journal of Offender Rehabilitation,1.1
Presidential Studies Quarterly,1.1
SEARCH-Journal of Media and Communication Research,1.1
African Security Review,1.1
CRITICAL STUDIES IN MEDIA COMMUNICATION,1.1
Developmental Neurorehabilitation,1.1
Evolutionary Behavioral Sciences,1.1
Journal of Comparative Politics,1.1
Mljekarstvo,1.1
Research in Mathematics,1.1
Rural Society,1.1
APPLIED MEASUREMENT IN EDUCATION,1.1
INTERNATIONAL JOURNAL OF TROPICAL INSECT SCIENCE,1.1
Journal of Applied School Psychology,1.1
Journal of Chinese Economic and Foreign Trade Studies,1.1
Settler Colonial Studies,1.1
Ethnography and Education,1.1
HEALTH EDUCATION JOURNAL,1.1
INTERNATIONAL JOURNAL OF PEST MANAGEMENT,1.1
Journal for Nurses in Professional Development,1.1
ORTHOPEDICS,1.1
Statistical Methods and Applications,1.1
Acta Cirurgica Brasileira,1.1
Agricultural and Resource Economics-International Scientific E-Journal,1.1
Anaesthesiologie,1.1
Educar,1.1
Enfermeria Intensiva,1.1
International Journal on Software Tools for Technology Transfer,1.1
SURGICAL LAPAROSCOPY ENDOSCOPY & PERCUTANEOUS TECHNIQUES,1.1
Acta Orthopaedica et Traumatologica Turcica,1.1
AMERICAN MUSEUM NOVITATES,1.1
Annals of Thoracic and Cardiovascular Surgery,1.1
FLORIDA ENTOMOLOGIST,1.1
JOURNAL OF FAMILY THERAPY,1.1
RUSSIAN JOURNAL OF COORDINATION CHEMISTRY,1.1
Tree-Ring Research,1.1
Turkish Journal of Emergency Medicine,1.1
ULTRASTRUCTURAL PATHOLOGY,1.1
ACTA ETHOLOGICA,1.1
Apunts Sports Medicine,1.1
International Journal of Osteopathic Medicine,1.1
NURSING SCIENCE QUARTERLY,1.1
Seminars in Cardiothoracic and Vascular Anesthesia,1.1
AFRICAN JOURNAL OF AQUATIC SCIENCE,1.1
KOLNER ZEITSCHRIFT FUR SOZIOLOGIE UND SOZIALPSYCHOLOGIE,1.1
Papeles del Psicologo,1.1
PEDIATRIC ANNALS,1.1
RESOURCE GEOLOGY,1.1
AMERICAN JOURNAL OF DERMATOPATHOLOGY,1.1
Child & Youth Services,1.1
FACIAL PLASTIC SURGERY,1.1
Journal of Childhood Studies,1.1
JOURNAL OF HEURISTICS,1.1
NISPAcee Journal of Public Administration and Policy,1.1
REVISTA BRASILEIRA DE ZOOTECNIA-BRAZILIAN JOURNAL OF ANIMAL SCIENCE,1.1
Turk Oftalmoloji Dergisi-Turkish Journal of Ophthalmology,1.1
Annals of Transplantation,1.1
JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM,1.1
NEUROPEDIATRICS,1.1
Norsk Geografisk Tidsskrift-Norwegian Journal of Geography,1.1
Revista Brasileira de Politica Internacional,1.1
STUDIA PSYCHOLOGICA,1.1
THEORY & PSYCHOLOGY,1.1
VETERINARY CLINICS OF NORTH AMERICA-EQUINE PRACTICE,1.1
African Journalism Studies,1.1
ANNALI DELL ISTITUTO SUPERIORE DI SANITA,1.1
ANNALS OF CLINICAL AND LABORATORY SCIENCE,1.1
CANADIAN PUBLIC ADMINISTRATION-ADMINISTRATION PUBLIQUE DU CANADA,1.1
Digital Library Perspectives,1.1
EUROPEAN JOURNAL OF MASS SPECTROMETRY,1.1
Extremes,1.1
FOREST PRODUCTS JOURNAL,1.1
Journal of Gerontological Nursing,1.1
Journal of Science in Sport and Exercise,1.1
Palliative Medicine Reports,1.1
South African Geographical Journal,1.1
Austrian Journal of Forest Science,1.1
Autex Research Journal,1.1
Brazilian Journal of Poultry Science,1.1
Criminal Behaviour and Mental Health,1.1
Global Health Epidemiology and Genomics,1.1
HELMINTHOLOGIA,1.1
INVERSE PROBLEMS IN SCIENCE AND ENGINEERING,1.1
JAHRBUCHER FUR NATIONALOKONOMIE UND STATISTIK,1.1
JOURNAL OF INFORMATION & OPTIMIZATION SCIENCES,1.1
Journal of Public Economic Theory,1.1
Near Surface Geophysics,1.1
TURKISH JOURNAL OF BIOLOGY,1.1
Annals of Cardiac Anaesthesia,1.1
Complementary Medicine Research,1.1
Indian Journal of Orthopaedics,1.1
International Journal of Educational Leadership and Management,1.1
Journal of Laboratory Medicine,1.1
Journal of Revenue and Pricing Management,1.1
JOURNAL OF THE AUDIO ENGINEERING SOCIETY,1.1
LAKE AND RESERVOIR MANAGEMENT,1.1
ZEITSCHRIFT FUR ANORGANISCHE UND ALLGEMEINE CHEMIE,1.1
"Aquaculture, Fish and Fisheries",1.1
Ciencia & Saude Coletiva,1.1
CLINICAL NEPHROLOGY,1.1
East Asian Policy,1.1
Evolutionary Psychology,1.1
Geographia Polonica,1.1
International Journal of Surgery Protocols,1.1
Journal of Quantitative Analysis in Sports,1.1
JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,1.1
Revista Espanola de Educacion Comparada,1.1
ANNALS OF THE MISSOURI BOTANICAL GARDEN,1.1
ARQUIVOS BRASILEIROS DE OFTALMOLOGIA,1.1
Brazilian Journal of Cardiovascular Surgery,1.1
CANADIAN JOURNAL OF EXPERIMENTAL PSYCHOLOGY-REVUE CANADIENNE DE PSYCHOLOGIE EXPERIMENTALE,1.1
GRASSLAND SCIENCE,1.1
HUMAN HEREDITY,1.1
International Journal of Aerospace Engineering,1.1
International Journal of Yoga,1.1
Journal of Applied Science and Engineering,1.1
Journal of Dance Medicine & Science,1.1
Journal of Forest Science,1.1
JOURNAL OF PHYTOPATHOLOGY,1.1
MILITARY PSYCHOLOGY,1.1
Pacific Economic Review,1.1
Proceedings of the Institution of Mechanical Engineers Part P-Journal of Sports Engineering and Technology,1.1
SCHMERZ,1.1
TROPICAL ECOLOGY,1.1
ANAESTHESIA AND INTENSIVE CARE,1.1
CANADIAN MINERALOGIST,1.1
Econometrics,1.1
EXPERIMENTAL PSYCHOLOGY,1.1
General Thoracic and Cardiovascular Surgery,1.1
IET Microwaves Antennas & Propagation,1.1
International Journal of Prisoner Health,1.1
Journal of Applied Biomechanics,1.1
JOURNAL OF ETHNICITY IN SUBSTANCE ABUSE,1.1
JOURNAL OF PORTFOLIO MANAGEMENT,1.1
Monaldi Archives for Chest Disease,1.1
PLANT SPECIES BIOLOGY,1.1
VITIS,1.1
ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS,1.1
Annals of Hepato-Biliary-Pancreatic Surgery,1.1
ANNALS OF NONINVASIVE ELECTROCARDIOLOGY,1.1
JOURNAL OF THERMOPHYSICS AND HEAT TRANSFER,1.1
PHARMACIA,1.1
PSYCHIATRISCHE PRAXIS,1.1
TRANSPORTATION JOURNAL,1.1
Analytical and Bioanalytical Chemistry Research,1.1
Computer Optics,1.1
Current Medical Imaging,1.1
i2 Investigacion e Innovacion en Arquitectura y Territorio,1.1
Information Resources Management Journal,1.1
International Journal of Clinical and Experimental Pathology,1.1
JOURNAL OF MOTOR BEHAVIOR,1.1
Journal of Pathogens,1.1
Journal of Stem Cells & Regenerative Medicine,1.1
KEIO JOURNAL OF MEDICINE,1.1
Optics Continuum,1.1
POPULATION ECOLOGY,1.1
South African Journal of Accounting Research,1.1
ACTA BOTANICA CROATICA,1.1
Advances in Autism,1.1
Curved and Layered Structures,1.1
Innovations in Systems and Software Engineering,1.1
INTERNATIONAL JOURNAL OF COMPUTATIONAL FLUID DYNAMICS,1.1
International Journal of Educational Psychology,1.1
JOURNAL OF FUNCTIONAL PROGRAMMING,1.1
Journal of Healthcare Quality Research,1.1
Journal of Intergenerational Relationships,1.1
Journal of Mining and Environment,1.1
NEUROLOGIST,1.1
SOUNDINGS,1.1
Terra Economicus,1.1
Turkish Journal of Pathology,1.1
Brain Impairment,1.1
ECONOMIC RECORD,1.1
IET Signal Processing,1.1
Journal of Geosciences,1.1
Medical Dosimetry,1.1
NEUROPSYCHIATRIE,1.1
OPTICAL ENGINEERING,1.1
Psychology in Russia-State of the Art,1.1
Radiation Effects and Defects in Solids,1.1
Reproductive Medicine,1.1
Translational Journal of the American College of Sports Medicine,1.1
ACTA RADIOLOGICA,1.1
AJAR-African Journal of AIDS Research,1.1
Botanical Sciences,1.1
CANADIAN JOURNAL OF CIVIL ENGINEERING,1.1
Eastern Economic Journal,1.1
Forests Trees and Livelihoods,1.1
GEOPHYSICAL AND ASTROPHYSICAL FLUID DYNAMICS,1.1
Integrative Psychological and Behavioral Science,1.1
Interpretation-A Journal of Subsurface Characterization,1.1
Journal of Seed Science,1.1
Journal of Social and Economic Development,1.1
OPTICAL REVIEW,1.1
PHYSICAL GEOGRAPHY,1.1
REVISTA LATINOAMERICANA DE PSICOLOGIA,1.1
RUSSIAN JOURNAL OF PLANT PHYSIOLOGY,1.1
Tropical Life Sciences Research,1.1
VISUAL NEUROSCIENCE,1.1
WIENER MEDIZINISCHE WOCHENSCHRIFT,1.1
Acta Crystallographica Section F-Structural Biology Communications,1.1
AFRICAN JOURNAL OF ECOLOGY,1.1
Ager-Revista de Estudios sobre Despoblacion y Desarrollo Rural,1.1
AIMS Biophysics,1.1
APPLIED MAGNETIC RESONANCE,1.1
Arab Journal of Gastroenterology,1.1
Central European Journal of Public Health,1.1
CLAY MINERALS,1.1
Current Drug Safety,1.1
Foreign Trade Review,1.1
Indian Journal of Palliative Care,1.1
International Journal of Intelligent Transportation Systems Research,1.1
INTERNATIONAL JOURNAL OF PSYCHIATRY IN MEDICINE,1.1
ISOTOPES IN ENVIRONMENTAL AND HEALTH STUDIES,1.1
Journal of Agricultural Sciences-Tarim Bilimleri Dergisi,1.1
JOURNAL OF ARTIFICIAL ORGANS,1.1
Journal of Physics Communications,1.1
Journal of Transport and Supply Chain Management,1.1
Macroeconomics and Finance in Emerging Market Economies,1.1
Mathematics in Computer Science,1.1
Open Computer Science,1.1
Optics,1.1
Physics of Wave Phenomena,1.1
Plant Ecology and Evolution,1.1
RISK MANAGEMENT AND INSURANCE REVIEW,1.1
SAE International Journal of Engines,1.1
South African Journal of Plant and Soil,1.1
CANADIAN JOURNAL OF PHYSICS,1.1
FORUM FOR DEVELOPMENT STUDIES,1.1
Health SA Gesondheid,1.1
HERZ,1.1
INFORMS Journal on Applied Analytics,1.1
INTERNATIONAL JOURNAL OF ELECTRONICS,1.1
International Journal of Sensor Networks,1.1
Journal of Accounting Literature,1.1
Journal of Basic and Applied Zoology,1.1
JOURNAL OF COLD REGIONS ENGINEERING,1.1
JOURNAL OF COMPUTER AND SYSTEM SCIENCES,1.1
Journal of Contemporary Brachytherapy,1.1
Journal of Dynamics and Games,1.1
Journal of Sport for Development,1.1
JPC-JOURNAL OF PLANAR CHROMATOGRAPHY-MODERN TLC,1.1
Medeniyet Medical Journal,1.1
META,1.1
Mitochondrial DNA Part A,1.1
Polish Journal of Management Studies,1.1
Progress in Rubber Plastics and Recycling Technology,1.1
RADIOLOGIA,1.1
Revista Electronica de LEEME,1.1
Revista Iberoamericana de Automatica e Informatica Industrial,1.1
TUEXENIA,1.1
ZEITSCHRIFT FUR GERONTOLOGIE UND GERIATRIE,1.1
ACTA CLINICA BELGICA,1.1
Acta Paulista de Enfermagem,1.1
Advances in Virology,1.1
BEHAVIORAL INTERVENTIONS,1.1
Ciencia e Tecnica Vitivinicola,1.1
Frontiers in Heat and Mass Transfer,1.1
International Journal of Ventilation,1.1
INTERNATIONAL STUDIES OF MANAGEMENT & ORGANIZATION,1.1
JOURNAL OF LOW TEMPERATURE PHYSICS,1.1
Pediatric Allergy Immunology and Pulmonology,1.1
Proceedings of the Institution of Civil Engineers-Engineering and Computational Mechanics,1.1
