journalname,IF
Quantitative Science Studies,5.6
Current Research in Microbial Sciences,5.6
Infectious Diseases and Therapy,5.6
International Immunopharmacology,5.6
International Immunopharmacology,5.6
European Heart Journal-Quality of Care and Clinical Outcomes,5.6
Travel Medicine and Infectious Disease,5.6
Travel Medicine and Infectious Disease,5.6
New Biotechnology,5.6
New Biotechnology,5.6
Journal of Vacation Marketing,5.6
Journal of Vacation Marketing,5.6
Journal of Hydrology-Regional Studies,5.6
MARINE STRUCTURES,5.6
MARINE STRUCTURES,5.6
APPLIED SOIL ECOLOGY,5.6
IEEE JOURNAL OF OCEANIC ENGINEERING,5.6
IEEE JOURNAL OF OCEANIC ENGINEERING,5.6
IEEE JOURNAL OF OCEANIC ENGINEERING,5.6
IEEE JOURNAL OF OCEANIC ENGINEERING,5.6
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS I-REGULAR PAPERS,5.6
CANCER,5.6
CELLULAR ONCOLOGY,5.6
CELLULAR ONCOLOGY,5.6
CELLULAR ONCOLOGY,5.6
IEEE JOURNAL OF SOLID-STATE CIRCUITS,5.6
COASTAL ENGINEERING,5.6
COASTAL ENGINEERING,5.6
Advances in Climate Change Research,5.6
Advances in Climate Change Research,5.6
CSEE Journal of Power and Energy Systems,5.6
CSEE Journal of Power and Energy Systems,5.6
International Journal of Logistics-Research and Applications,5.6
Thermal Science and Engineering Progress,5.6
Thermal Science and Engineering Progress,5.6
Thermal Science and Engineering Progress,5.6
Thermal Science and Engineering Progress,5.6
COMPUTERS & STRUCTURES,5.6
COMPUTERS & STRUCTURES,5.6
Stem Cell Reports,5.6
Stem Cell Reports,5.6
CIRP Journal of Manufacturing Science and Technology,5.6
Asia-Pacific Journal of Business Administration,5.6
PROTEIN SCIENCE,5.6
Food and Bioprocess Technology,5.6
IEEE Circuits and Systems Magazine,5.6
Non-coding RNA Research,5.6
Journal of Intensive Medicine,5.6
JOURNAL OF HYPERTENSION,5.6
Artificial Cells Nanomedicine and Biotechnology,5.6
Artificial Cells Nanomedicine and Biotechnology,5.6
Artificial Cells Nanomedicine and Biotechnology,5.6
Systems Science & Control Engineering,5.6
PLOS Climate,5.6
PLOS Climate,5.6
Environmental Science-Nano,5.6
Environmental Science-Nano,5.6
Environmental Science-Nano,5.6
Advanced Sustainable Systems,5.6
Advanced Sustainable Systems,5.6
Expert Review of Vaccines,5.6
Nanotechnology Reviews,5.6
Nanotechnology Reviews,5.6
Nanotechnology Reviews,5.6
Nanotechnology Reviews,5.6
JOURNAL OF POLYMERS AND THE ENVIRONMENT,5.6
JOURNAL OF POLYMERS AND THE ENVIRONMENT,5.6
Biomolecules,5.6
INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,5.6
INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,5.6
Plasmonics,5.6
Plasmonics,5.6
Plasmonics,5.6
ACS Applied Bio Materials,5.6
ACS Applied Bio Materials,5.6
CRITICAL REVIEWS IN TOXICOLOGY,5.6
Cell Regeneration,5.6
Cell Regeneration,5.6
CURRENT OPINION IN IMMUNOLOGY,5.6
Functional Diamond,5.6
PROGRESS IN CRYSTAL GROWTH AND CHARACTERIZATION OF MATERIALS,5.6
PROGRESS IN CRYSTAL GROWTH AND CHARACTERIZATION OF MATERIALS,5.6
Chemical Biology Letters,5.6
Chemical Biology Letters,5.6
Hydrogen,5.6
Hydrogen,5.6
Ethics and Information Technology,5.5
Ethics and Information Technology,5.5
Ethics and Information Technology,5.5
Research Methods in Applied Linguistics,5.5
Journal of Chinese Governance,5.5
Journal of Chinese Governance,5.5
Innovation in Language Learning and Teaching,5.5
Innovation in Language Learning and Teaching,5.5
Journal of Science Education and Technology,5.5
Journal of Science Education and Technology,5.5
KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,5.5
KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,5.5
KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,5.5
Journal of International Financial Management & Accounting,5.5
Computers in Human Behavior Reports,5.5
Computers in Human Behavior Reports,5.5
INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE,5.5
Educational Researcher,5.5
American Economic Journal-Economic Policy,5.5
Current Opinion in Insect Science,5.5
Current Opinion in Insect Science,5.5
Current Opinion in Insect Science,5.5
Emergencias,5.5
BIOINFORMATICS,5.5
BIOINFORMATICS,5.5
BIOINFORMATICS,5.5
Bone & Joint Research,5.5
Bone & Joint Research,5.5
Journal of Cystic Fibrosis,5.5
ECONOMIC MODELLING,5.5
JOURNAL OF AGRICULTURAL ECONOMICS,5.5
JOURNAL OF AGRICULTURAL ECONOMICS,5.5
WORK AND STRESS,5.5
CLIMATE POLICY,5.5
CLIMATE POLICY,5.5
Journal of Educational Evaluation for Health Professions,5.5
Communications Physics,5.5
Biology Direct,5.5
ALTEX-Alternatives to Animal Experimentation,5.5
APPLIED MATHEMATICAL MODELLING,5.5
APPLIED MATHEMATICAL MODELLING,5.5
APPLIED MATHEMATICAL MODELLING,5.5
CURRENT OPINION IN PHARMACOLOGY,5.5
Public Policy and Administration,5.5
Conservation Letters,5.5
COMPUTERIZED MEDICAL IMAGING AND GRAPHICS,5.5
COMPUTERIZED MEDICAL IMAGING AND GRAPHICS,5.5
GLIA,5.5
Current Opinion in Virology,5.5
Journal of Global Health,5.5
Mucosal Immunology,5.5
FUNCTIONAL ECOLOGY,5.5
Soft Robotics,5.5
IEEE TRANSACTIONS ON SIGNAL PROCESSING,5.5
Phenomics,5.5
MOLECULAR NEUROBIOLOGY,5.5
JOURNAL OF TRAVEL MEDICINE,5.5
JOURNAL OF TRAVEL MEDICINE,5.5
JOURNAL OF TRAVEL MEDICINE,5.5
Science China-Earth Sciences,5.5
Antibiotics-Basel,5.5
Antibiotics-Basel,5.5
Cardiovascular Intervention and Therapeutics,5.5
RSC Pharmaceutics,5.5
NEUROCHEMISTRY INTERNATIONAL,5.5
NEUROCHEMISTRY INTERNATIONAL,5.5
Cluster Computing-The Journal of Networks Software Tools and Applications,5.5
Cluster Computing-The Journal of Networks Software Tools and Applications,5.5
Climate Risk Management,5.5
Climate Risk Management,5.5
Climate Risk Management,5.5
Journal of Cloud Computing-Advances Systems and Applications,5.5
Petroleum,5.5
Petroleum,5.5
Petroleum,5.5
COMPUTERS & ELECTRICAL ENGINEERING,5.5
COMPUTERS & ELECTRICAL ENGINEERING,5.5
COMPUTERS & ELECTRICAL ENGINEERING,5.5
Environmental and Sustainability Indicators,5.5
Environmental and Sustainability Indicators,5.5
JOURNAL OF CONTAMINANT HYDROLOGY,5.5
JOURNAL OF CONTAMINANT HYDROLOGY,5.5
JOURNAL OF CONTAMINANT HYDROLOGY,5.5
JOURNAL OF PHARMACY AND PHARMACEUTICAL SCIENCES,5.5
IEEE Intelligent Transportation Systems Magazine,5.5
IEEE Intelligent Transportation Systems Magazine,5.5
TRANSACTIONS OF NONFERROUS METALS SOCIETY OF CHINA,5.5
Asia Pacific Journal of Marketing and Logistics,5.5
INFLAMMATORY BOWEL DISEASES,5.5
BMC Medical Informatics and Decision Making,5.5
ENVIRONMENTAL SCIENCE & POLICY,5.5
DATA MINING AND KNOWLEDGE DISCOVERY,5.5
DATA MINING AND KNOWLEDGE DISCOVERY,5.5
JACC-Advances,5.5
Intelligent Systems with Applications,5.5
Intelligent Systems with Applications,5.5
Intelligent Systems with Applications,5.5
Frontiers in Nutrition,5.5
Emerging Themes in Epidemiology,5.5
Frontiers in Cellular and Infection Microbiology,5.5
Frontiers in Cellular and Infection Microbiology,5.5
REVIEWS IN MEDICAL VIROLOGY,5.5
JCO Oncology Practice,5.5
JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT,5.5
JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT,5.5
JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT,5.5
ACS Applied Energy Materials,5.5
ACS Applied Energy Materials,5.5
ACS Applied Energy Materials,5.5
INTERNATIONAL JOURNAL OF FOOD PROPERTIES,5.5
POWDER TECHNOLOGY,5.5
Annual Review of Cancer Biology,5.5
Food Safety and Health,5.5
CATALYSIS COMMUNICATIONS,5.5
Optical Switching and Networking,5.5
Optical Switching and Networking,5.5
Optical Switching and Networking,5.5
Food Bioengineering,5.5
Nucleus,5.5
YALE LAW JOURNAL,5.4
Journal of Chinese Political Science,5.4
Journal of Chinese Political Science,5.4
AMERICAN JOURNAL OF SPORTS MEDICINE,5.4
AMERICAN JOURNAL OF SPORTS MEDICINE,5.4
PSYCHOLOGICAL SCIENCE,5.4
Agricultural and Food Economics,5.4
Agricultural and Food Economics,5.4
Forest Ecosystems,5.4
European Journal of Emergency Medicine,5.4
FORTSCHRITTE DER PHYSIK-PROGRESS OF PHYSICS,5.4
JOURNAL OF PERIODONTAL RESEARCH,5.4
JOURNAL OF PATHOLOGY,5.4
JOURNAL OF PATHOLOGY,5.4
INTERNATIONAL JOURNAL OF ENGINEERING SCIENCE,5.4
INTERNATIONAL JOURNAL OF GYNECOLOGICAL CANCER,5.4
INTERNATIONAL JOURNAL OF GYNECOLOGICAL CANCER,5.4
ARTHRITIS RESEARCH & THERAPY,5.4
Epidemiology and Psychiatric Sciences,5.4
Human Resources for Health,5.4
Human Resources for Health,5.4
Journal of Hospitality and Tourism Insights,5.4
BMC BIOLOGY,5.4
TSINGHUA SCIENCE AND TECHNOLOGY,5.4
TSINGHUA SCIENCE AND TECHNOLOGY,5.4
TSINGHUA SCIENCE AND TECHNOLOGY,5.4
Journal of Cardiovascular Computed Tomography,5.4
Journal of Cardiovascular Computed Tomography,5.4
BIOLOGICAL RESEARCH,5.4
Pacific-Basin Finance Journal,5.4
American Journal of Preventive Cardiology,5.4
IEEE TRANSACTIONS ON RELIABILITY,5.4
IEEE TRANSACTIONS ON RELIABILITY,5.4
IEEE TRANSACTIONS ON RELIABILITY,5.4
JOURNAL OF NEUROLOGY,5.4
European Journal of Cardiovascular Nursing,5.4
European Journal of Cardiovascular Nursing,5.4
Anaesthesia Critical Care & Pain Medicine,5.4
Anaesthesia Critical Care & Pain Medicine,5.4
mBio,5.4
MICROCHIMICA ACTA,5.4
BMC MICROBIOLOGY,5.4
JOURNAL OF CLINICAL ENDOCRINOLOGY & METABOLISM,5.4
CRANIO-The Journal of Craniomandibular & Sleep Practice,5.4
Ad Hoc Networks,5.4
Ad Hoc Networks,5.4
FOOD MICROBIOLOGY,5.4
FOOD MICROBIOLOGY,5.4
FOOD MICROBIOLOGY,5.4
Journal of Trust Research,5.4
Journal of Trust Research,5.4
OSTEOPOROSIS INTERNATIONAL,5.4
CORPORATE GOVERNANCE-AN INTERNATIONAL REVIEW,5.4
CORPORATE GOVERNANCE-AN INTERNATIONAL REVIEW,5.4
CORPORATE GOVERNANCE-AN INTERNATIONAL REVIEW,5.4
AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY,5.4
AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY,5.4
AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY,5.4
NATURAL HAZARDS AND EARTH SYSTEM SCIENCES,5.4
NATURAL HAZARDS AND EARTH SYSTEM SCIENCES,5.4
NATURAL HAZARDS AND EARTH SYSTEM SCIENCES,5.4
Frontiers in Pharmacology,5.4
Environmental Research Letters,5.4
Environmental Research Letters,5.4
International Journal of Digital Earth,5.4
International Journal of Digital Earth,5.4
VIRTUAL REALITY,5.4
VIRTUAL REALITY,5.4
VIRTUAL REALITY,5.4
Artificial Intelligence in Geosciences,5.4
China Journal of Accounting Research,5.4
Applied Food Research,5.4
Ocean-Land-Atmosphere Research,5.4
Ocean-Land-Atmosphere Research,5.4
Geo-Spatial Information Science,5.4
Climate Services,5.4
Climate Services,5.4
Climate Services,5.4
AMERICAN JOURNAL OF PHYSIOLOGY-CELL PHYSIOLOGY,5.4
AMERICAN JOURNAL OF PHYSIOLOGY-CELL PHYSIOLOGY,5.4
JOURNAL OF TECHNOLOGY TRANSFER,5.4
GPS SOLUTIONS,5.4
INTERNATIONAL JOURNAL OF OBESITY,5.4
INTERNATIONAL JOURNAL OF OBESITY,5.4
INTERNATIONAL MARKETING REVIEW,5.4
CURRENT OPINION IN RHEUMATOLOGY,5.4
INFLAMMATION,5.4
INFLAMMATION,5.4
IMMUNOLOGY,5.4
Food Hydrocolloids for Health,5.4
Food Hydrocolloids for Health,5.4
Food Innovation and Advances,5.4
REACTIVE & FUNCTIONAL POLYMERS,5.4
REACTIVE & FUNCTIONAL POLYMERS,5.4
REACTIVE & FUNCTIONAL POLYMERS,5.4
WIREs Mechanisms of Disease,5.4
BOTANICAL REVIEW,5.4
COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS,5.4
AIMS Microbiology,5.4
Analytical Science Advances,5.4
Digital Chemical Engineering,5.4
Reviews of Modern Plasma Physics,5.4
INTERNATIONAL REVIEWS OF IMMUNOLOGY,5.4
SOCIOLOGICAL METHODS & RESEARCH,5.3
SOCIOLOGICAL METHODS & RESEARCH,5.3
JOURNAL OF COMMUNICATION,5.3
ANNALS OF FAMILY MEDICINE,5.3
ANNALS OF FAMILY MEDICINE,5.3
European Journal of Education,5.3
Thinking Skills and Creativity,5.3
Artificial Intelligence and Law,5.3
Artificial Intelligence and Law,5.3
Artificial Intelligence and Law,5.3
ULTRASOUND IN OBSTETRICS & GYNECOLOGY,5.3
ULTRASOUND IN OBSTETRICS & GYNECOLOGY,5.3
ULTRASOUND IN OBSTETRICS & GYNECOLOGY,5.3
ANNALS OF THORACIC SURGERY,5.3
ANNALS OF THORACIC SURGERY,5.3
ANNALS OF THORACIC SURGERY,5.3
Research in Globalization,5.3
Research in Globalization,5.3
Research in Globalization,5.3
Radiologia Medica,5.3
Journal of Ovarian Research,5.3
RMD Open,5.3
CHINESE JOURNAL OF PHYSICS,5.3
JOURNAL OF PSYCHOPHARMACOLOGY,5.3
JOURNAL OF PSYCHOPHARMACOLOGY,5.3
JOURNAL OF PSYCHOPHARMACOLOGY,5.3
JOURNAL OF PSYCHOPHARMACOLOGY,5.3
NEUROIMAGE,5.3
NEUROIMAGE,5.3
NEUROIMAGE,5.3
IEEE Transactions on Cloud Computing,5.3
IEEE Transactions on Cloud Computing,5.3
One Health,5.3
One Health,5.3
Animal Research and One Health,5.3
Animal Research and One Health,5.3
Business Ethics the Environment & Responsibility,5.3
Business Ethics the Environment & Responsibility,5.3
Worldviews on Evidence-Based Nursing,5.3
Pulmonology,5.3
Journal of the American College of Radiology,5.3
JOURNAL OF ENGINEERING EDUCATION,5.3
JOURNAL OF ENGINEERING EDUCATION,5.3
JOURNAL OF ENGINEERING EDUCATION,5.3
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,5.3
Biology of Sex Differences,5.3
Biology of Sex Differences,5.3
npj Genomic Medicine,5.3
Clinical Kidney Journal,5.3
JOURNAL OF ENZYME INHIBITION AND MEDICINAL CHEMISTRY,5.3
JOURNAL OF ENZYME INHIBITION AND MEDICINAL CHEMISTRY,5.3
INTERNATIONAL JOURNAL OF NUMERICAL METHODS FOR HEAT & FLUID FLOW,5.3
INTERNATIONAL JOURNAL OF NUMERICAL METHODS FOR HEAT & FLUID FLOW,5.3
INTERNATIONAL JOURNAL OF NUMERICAL METHODS FOR HEAT & FLUID FLOW,5.3
JOURNAL OF APPLIED ECOLOGY,5.3
JOURNAL OF APPLIED ECOLOGY,5.3
ECOGRAPHY,5.3
ECOGRAPHY,5.3
Quantum,5.3
Quantum,5.3
Array,5.3
IEEE Robotics and Automation Letters,5.3
LUNG CANCER,5.3
LUNG CANCER,5.3
PHYSICAL REVIEW D,5.3
PHYSICAL REVIEW D,5.3
PLANT CELL REPORTS,5.3
Georisk-Assessment and Management of Risk for Engineered Systems and Geohazards,5.3
Georisk-Assessment and Management of Risk for Engineered Systems and Geohazards,5.3
European Heart Journal - Digital Health,5.3
International Journal of Retail & Distribution Management,5.3
International Journal of Retail & Distribution Management,5.3
IEEE Transactions on Control of Network Systems,5.3
IEEE Transactions on Control of Network Systems,5.3
INTERNATIONAL JOURNAL OF ELECTRICAL POWER & ENERGY SYSTEMS,5.3
Probiotics and Antimicrobial Proteins,5.3
Probiotics and Antimicrobial Proteins,5.3
JOURNAL OF SYSTEMS ARCHITECTURE,5.3
JOURNAL OF SYSTEMS ARCHITECTURE,5.3
Seismic Record,5.3
IEEE Transactions on Sustainable Computing,5.3
IEEE Transactions on Sustainable Computing,5.3
IEEE Transactions on Sustainable Computing,5.3
CONTROL ENGINEERING PRACTICE,5.3
CONTROL ENGINEERING PRACTICE,5.3
International Journal of Disaster Risk Science,5.3
International Journal of Disaster Risk Science,5.3
International Journal of Disaster Risk Science,5.3
BRAIN TOPOGRAPHY,5.3
BRAIN TOPOGRAPHY,5.3
City and Environment Interactions,5.3
City and Environment Interactions,5.3
City and Environment Interactions,5.3
HEART FAILURE REVIEWS,5.3
IEEE-ACM TRANSACTIONS ON NETWORKING,5.3
IEEE-ACM TRANSACTIONS ON NETWORKING,5.3
IEEE-ACM TRANSACTIONS ON NETWORKING,5.3
IEEE-ACM TRANSACTIONS ON NETWORKING,5.3
VLDB JOURNAL,5.3
VLDB JOURNAL,5.3
JOURNAL OF PUBLIC POLICY & MARKETING,5.3
Water Science and Engineering,5.3
Corporate Governance-The International Journal of Business in Society,5.3
Big Data and Cognitive Computing,5.3
Big Data and Cognitive Computing,5.3
Big Data and Cognitive Computing,5.3
INTERMETALLICS,5.3
INTERMETALLICS,5.3
INTERMETALLICS,5.3
Deep Underground Science and Engineering,5.3
Obesity Pillars,5.3
Obesity Pillars,5.3
JOURNAL OF FOOD COMPOSITION AND ANALYSIS,5.3
JOURNAL OF FOOD COMPOSITION AND ANALYSIS,5.3
Sustainability Science,5.3
Sustainability Science,5.3
Cleaner Environmental Systems,5.3
Cleaner Environmental Systems,5.3
Cleaner Environmental Systems,5.3
Cleaner Environmental Systems,5.3
BIOGERONTOLOGY,5.3
Arabian Journal of Chemistry,5.3
Frontiers in Cell and Developmental Biology,5.3
Frontiers in Cell and Developmental Biology,5.3
International Journal of Information and Learning Technology,5.3
Chemical Physics Impact,5.3
Seed Biology,5.3
ChemPhysMater,5.3
ChemPhysMater,5.3
Frontiers in Chemistry,5.3
Medicine Advances,5.3
Cambridge Prisms: Plastics,5.3
Cambridge Prisms: Plastics,5.3
CRIMINOLOGY,5.2
STUDIES IN SECOND LANGUAGE ACQUISITION,5.2
Regulation & Governance,5.2
Regulation & Governance,5.2
Regulation & Governance,5.2
BMC NURSING,5.2
Heritage Science,5.2
Heritage Science,5.2
Heritage Science,5.2
Heritage Science,5.2
BREAST,5.2
BREAST,5.2
Child Development Perspectives,5.2
Journal of University Teaching and Learning Practice,5.2
International Journal of Nursing Studies Advances,5.2
NEW TECHNOLOGY WORK AND EMPLOYMENT,5.2
NEW TECHNOLOGY WORK AND EMPLOYMENT,5.2
Global Environmental Politics,5.2
Global Environmental Politics,5.2
Global Environmental Politics,5.2
Eye and Vision,5.2
PSYCHOLOGICAL MEDICINE,5.2
PSYCHOLOGICAL MEDICINE,5.2
PSYCHOLOGICAL MEDICINE,5.2
Annual Review of Linguistics,5.2
Annual Review of Linguistics,5.2
JOURNAL OF CLINICAL CHILD AND ADOLESCENT PSYCHOLOGY,5.2
JOURNAL OF CLINICAL CHILD AND ADOLESCENT PSYCHOLOGY,5.2
TechTrends,5.2
INTERNATIONAL DENTAL JOURNAL,5.2
Global Finance Journal,5.2
Public Management Review,5.2
Public Management Review,5.2
SOCIO-ECONOMIC PLANNING SCIENCES,5.2
SOCIO-ECONOMIC PLANNING SCIENCES,5.2
SOCIO-ECONOMIC PLANNING SCIENCES,5.2
TOXICOLOGY,5.2
TOXICOLOGY,5.2
Journal of Commodity Markets,5.2
Journal of Commodity Markets,5.2
Journal of Tourism and Services,5.2
International Journal for Equity in Health,5.2
JOURNAL OF THROMBOSIS AND HAEMOSTASIS,5.2
JOURNAL OF THROMBOSIS AND HAEMOSTASIS,5.2
GEOCHIMICA ET COSMOCHIMICA ACTA,5.2
IEEE TRANSACTIONS ON INDUSTRY APPLICATIONS,5.2
IEEE TRANSACTIONS ON INDUSTRY APPLICATIONS,5.2
IEEE-ACM Transactions on Audio Speech and Language Processing,5.2
IEEE-ACM Transactions on Audio Speech and Language Processing,5.2
mSystems,5.2
Plant Methods,5.2
Plant Methods,5.2
European Stroke Journal,5.2
European Stroke Journal,5.2
Asia Pacific Journal of Tourism Research,5.2
JOURNAL OF DRUG DELIVERY SCIENCE AND TECHNOLOGY,5.2
TOXICOLOGICAL SCIENCES,5.2
Interdisciplinary Sciences-Computational Life Sciences,5.2
JOURNAL OF LIGHTWAVE TECHNOLOGY,5.2
JOURNAL OF LIGHTWAVE TECHNOLOGY,5.2
JOURNAL OF LIGHTWAVE TECHNOLOGY,5.2
THROMBOSIS AND HAEMOSTASIS,5.2
THROMBOSIS AND HAEMOSTASIS,5.2
CHEMICO-BIOLOGICAL INTERACTIONS,5.2
CHEMICO-BIOLOGICAL INTERACTIONS,5.2
CHEMICO-BIOLOGICAL INTERACTIONS,5.2
MICROCHEMICAL JOURNAL,5.2
CONSERVATION BIOLOGY,5.2
CONSERVATION BIOLOGY,5.2
CONSERVATION BIOLOGY,5.2
Antimicrobial Resistance and Infection Control,5.2
Antimicrobial Resistance and Infection Control,5.2
Antimicrobial Resistance and Infection Control,5.2
JOURNAL OF GEOTECHNICAL AND GEOENVIRONMENTAL ENGINEERING,5.2
JOURNAL OF GEOTECHNICAL AND GEOENVIRONMENTAL ENGINEERING,5.2
OPTICS AND LASER TECHNOLOGY,5.2
OPTICS AND LASER TECHNOLOGY,5.2
APPLIED CLAY SCIENCE,5.2
APPLIED CLAY SCIENCE,5.2
APPLIED CLAY SCIENCE,5.2
Business Process Management Journal,5.2
Business Process Management Journal,5.2
Crop Design,5.2
Journal of Integrative Medicine-JIM,5.2
Annals of Clinical Microbiology and Antimicrobials,5.2
Social Responsibility Journal,5.2
Remote Sensing in Ecology and Conservation,5.2
Remote Sensing in Ecology and Conservation,5.2
Best Practice & Research Clinical Gastroenterology,5.2
Frontiers in Digital Health,5.2
Frontiers in Digital Health,5.2
JOURNAL OF NUTRITIONAL BIOCHEMISTRY,5.2
JOURNAL OF NUTRITIONAL BIOCHEMISTRY,5.2
MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,5.2
IEEE TRANSACTIONS ON MICROWAVE THEORY AND TECHNIQUES,5.2
IEEE TRANSACTIONS ON MICROWAVE THEORY AND TECHNIQUES,5.2
CLIMATIC CHANGE,5.2
CLIMATIC CHANGE,5.2
Journal of the International AIDS Society,5.2
Journal of the International AIDS Society,5.2
Frontiers in Aging Neuroscience,5.2
Frontiers in Aging Neuroscience,5.2
BIOFACTORS,5.2
BIOFACTORS,5.2
Technologies,5.2
ACM Transactions on Management Information Systems,5.2
DIAMOND AND RELATED MATERIALS,5.2
DIAMOND AND RELATED MATERIALS,5.2
DIAMOND AND RELATED MATERIALS,5.2
DIAMOND AND RELATED MATERIALS,5.2
MARKETING SCIENCE,5.2
Asian Journal of Surgery,5.2
Railway Engineering Science,5.2
Brain Circulation,5.2
Brain Circulation,5.2
EUROPEAN JOURNAL OF PUBLIC HEALTH,5.2
Additive Manufacturing Letters,5.2
Additive Manufacturing Letters,5.2
ACS Applied Polymer Materials,5.2
ACS Applied Polymer Materials,5.2
EXERCISE AND SPORT SCIENCES REVIEWS,5.2
EXERCISE AND SPORT SCIENCES REVIEWS,5.2
Drones,5.2
ENVIRONMENTAL MODELLING & SOFTWARE,5.2
ENVIRONMENTAL MODELLING & SOFTWARE,5.2
ENVIRONMENTAL MODELLING & SOFTWARE,5.2
ENVIRONMENTAL MODELLING & SOFTWARE,5.2
MATERIALS SCIENCE IN SEMICONDUCTOR PROCESSING,5.2
MATERIALS SCIENCE IN SEMICONDUCTOR PROCESSING,5.2
MATERIALS SCIENCE IN SEMICONDUCTOR PROCESSING,5.2
MATERIALS SCIENCE IN SEMICONDUCTOR PROCESSING,5.2
Journal of Saudi Chemical Society,5.2
ACM Transactions on Autonomous and Adaptive Systems,5.2
ACM Transactions on Autonomous and Adaptive Systems,5.2
ACM Transactions on Autonomous and Adaptive Systems,5.2
MATERIALS CHEMISTRY AND PHYSICS,5.2
Journal of the Academy of Nutrition and Dietetics,5.2
PUBLIC HEALTH REVIEWS,5.2
Journal of Financial Services Marketing,5.2
Microbiome Research Reports,5.2
Discover Sustainability,5.2
Discover Sustainability,5.2
Discover Sustainability,5.2
Energy for Sustainable Development,5.2
Energy for Sustainable Development,5.2
CLEVELAND CLINIC JOURNAL OF MEDICINE,5.2
Progress in Additive Manufacturing,5.2
Progress in Additive Manufacturing,5.2
Computers,5.2
Nanoscale,5.2
Nanoscale,5.2
Nanoscale,5.2
Nanoscale,5.2
MACROMOLECULAR MATERIALS AND ENGINEERING,5.2
MACROMOLECULAR MATERIALS AND ENGINEERING,5.2
ACS Omega,5.2
Cleaner Waste Systems,5.2
Cleaner Waste Systems,5.2
Recycling,5.2
Current Oncology Reports,5.2
ANNALS OF BIOMEDICAL ENGINEERING,5.2
ACS Organic & Inorganic Au,5.2
REVIEWS ON ENVIRONMENTAL HEALTH,5.2
REVIEWS ON ENVIRONMENTAL HEALTH,5.2
ChemElectroChem,5.2
Nano Futures,5.2
Nano Futures,5.2
Nano Futures,5.2
ANNALS OF MATHEMATICS,5.1
Studies in Second Language Learning and Teaching,5.1
Digital Journalism,5.1
BRITISH JOURNAL OF GENERAL PRACTICE,5.1
BRITISH JOURNAL OF GENERAL PRACTICE,5.1
Chinese Political Science Review,5.1
TESOL QUARTERLY,5.1
TESOL QUARTERLY,5.1
American Economic Review-Insights,5.1
OBSTETRICS AND GYNECOLOGY,5.1
Spine Journal,5.1
Spine Journal,5.1
ECONOMIC GEOLOGY,5.1
ECONOMIC GEOLOGY,5.1
CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY,5.1
Intensive and Critical Care Nursing,5.1
Intensive and Critical Care Nursing,5.1
Anatomical Sciences Education,5.1
EUROPEAN REVIEW OF AGRICULTURAL ECONOMICS,5.1
EUROPEAN REVIEW OF AGRICULTURAL ECONOMICS,5.1
Minerva Urology and Nephrology,5.1
Clinical Psychological Science,5.1
Clinical Psychological Science,5.1
Clinical Psychological Science,5.1
WORLD DEVELOPMENT,5.1
WORLD DEVELOPMENT,5.1
EUROPEAN JOURNAL OF PHARMACEUTICAL SCIENCES,5.1
PERSONNEL REVIEW,5.1
PERSONNEL REVIEW,5.1
PERSONNEL REVIEW,5.1
Current Plant Biology,5.1
AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY,5.1
AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY,5.1
AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY,5.1
AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS,5.1
AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS,5.1
AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS,5.1
APPLIED OCEAN RESEARCH,5.1
APPLIED OCEAN RESEARCH,5.1
IEEE AEROSPACE AND ELECTRONIC SYSTEMS MAGAZINE,5.1
IEEE AEROSPACE AND ELECTRONIC SYSTEMS MAGAZINE,5.1
Journal of Ethnobiology and Ethnomedicine,5.1
Journal of Ethnobiology and Ethnomedicine,5.1
Journal of Ethnobiology and Ethnomedicine,5.1
PSYCHIATRY RESEARCH,5.1
Multimodal Transportation,5.1
Multimodal Transportation,5.1
JOURNAL OF DIGITAL IMAGING,5.1
IEEE Wireless Communications Letters,5.1
IEEE Wireless Communications Letters,5.1
